model,rmse,mae,r2,nse,train_rows,test_rows,validation_rows,epochs_trained,window_hours,horizon_hours
lstm,0.39024590216518995,0.23299916088581085,0.9842877388000488,0.9842877388000488,149217,31976,31975.0,11.0,168.0,144.0
random_forest,1.7779524759182643,1.2204203978411943,0.6479187489452458,0.6479187489452458,7100,1775,,,,
persistence_baseline,1.9987804999163583,1.25781797631242,0.5550278707293196,0.5550278707293196,7100,1775,,,,
